study_hours,sleep_hours,attendance,stress_level,marks,CGPA
1.38,7.29,61.94,1,75.68,8.06
5.36,8.22,93.43,3.43,80.55,8.3
3.68,6.81,87.83,3.74,60.41,7.18
5.21,5.07,89.14,4.14,69.42,7.93
4.31,6.14,83.47,5.89,70.35,7.32
3.72,5.69,77.9,5.74,54.48,5.65
1.61,6.45,63.57,3.34,60.75,6.91
1.88,7.98,77.4,1,71.89,8.07
0.5,3.46,62.19,3.75,39.71,4.65
3.16,6.01,73.47,5.09,70.43,7.92
7.42,5.92,100,9.53,70.69,8.39
2.07,4.99,69.97,5.56,49.77,6.16
0.5,7.2,67.39,1,68.34,7.03
5.44,4.8,85.17,7.59,66.75,7.53
7.55,4.94,100,8.05,78.57,8.09
4.45,7.52,87.13,4.99,71.51,7.61
4.43,8.3,88.79,2.67,73.98,8.05
3.54,6.41,74.13,4.16,58.24,6.87
1.31,5.04,66.13,3.24,44.95,5.67
1.82,5.65,78.86,1,60.34,6.96
3.52,7.71,76.39,2,87.35,8.85
3.24,6.64,80.24,4.05,58.48,6
3.83,6.38,90.59,4.4,68.57,7.92
5.24,6.88,76.97,5.83,63.17,7.27
3.13,6.45,74.24,4.46,56.36,6.78
5.27,8.35,86.38,3.1,69.17,8.54
3.14,5.6,66.69,4.02,70.02,7.72
5.56,5.46,85.51,6.95,72.45,7.09
4.13,4.84,75.79,7.06,67.98,6.59
3.35,5.85,81.02,4.26,67.72,7.19
4.1,5.19,71.86,4.13,57.11,6.68
3.56,6.76,87.25,3.6,58.99,7.36
4.17,6.53,84.3,5.38,75.4,7.8
5.14,5.21,80.42,8.29,58.04,6.2
3.87,7.21,84.48,3.94,70.37,7.99
3.45,8.32,80.21,1,71.98,8.27
2.31,6.93,71.38,1.98,72.87,7.76
4.87,3.45,80.74,8.9,57.21,6.82
4.52,8.88,85.35,3.5,68.11,7.44
2.23,7.4,71.75,2.34,51.91,6.45
5.25,8.85,82.82,3.15,89.95,8.76
2.2,7.81,64.3,2.25,68.03,7.94
5.54,8.05,83.47,3.85,84.65,9.05
5.03,6.75,82.64,5.47,57.95,7.1
4.63,6.19,88.96,6.19,66.65,7.5
3.43,6.95,81.48,4.06,65.39,6.77
4.86,5.65,82.07,6.81,72.46,7.44
5.61,7.02,86.02,6.17,77.54,8.19
4.89,3.35,89.4,7.49,52.37,5.9
2.99,6.55,76.31,3.46,59.99,7.04
4.4,8.11,83.27,2.38,77.07,9.16
5.7,6.61,84.97,5.8,71.03,7.06
7.3,8.57,95.88,4.56,89.41,9.88
3.69,6.18,78.48,4.85,59.42,6.44
5.29,7.7,85.98,2.62,86.1,8.92
5.7,5.45,92.18,7.87,69.33,7.38
2.78,7.65,77.73,2.14,76.44,8.56
6.67,6.78,88.77,8.8,73.09,7.71
2.4,6.24,69.51,2.96,64.68,7.53
5.21,3.41,82.63,8.6,44.54,5.81
4.46,6.19,89.23,5.95,69,6.88
4.08,6.76,91.68,4.18,67.87,7.84
7.82,7.49,96.78,7.6,79.58,9.01
3.55,8.37,76.91,3.17,68.12,7.69
3.52,8.94,81.83,1.31,71.97,8.33
6,8,86.45,6.2,86.55,9
5.14,5.83,90.04,4.64,71.31,7.72
5.92,6.13,89.51,8.39,59.25,6.75
4.18,7.39,72.16,2,65.22,7.95
4.48,7.12,75.87,5.7,71.12,7.73
6.85,8.45,92.57,3.53,77.75,10
2.75,9.48,79.85,2.25,69.61,7.61
3.85,9.22,74.77,1.79,93.93,9.69
5.2,8.29,83.32,2.96,80.28,8.88
3.71,7.13,79.59,5.44,67.94,6.88
3.14,8.12,67.38,1,63.65,7.76
4.93,8.49,86.13,3.21,87.54,8.59
6,6.32,82.3,9.29,65.82,6.7
3.79,5.86,81.78,5.32,60.25,6.43
3.75,5.58,74.69,3.14,56.37,6.6
3.03,5.45,70.43,4.31,63.66,7.5
3.56,4.84,79.14,5.35,62.9,7.03
5.63,6.8,92.1,6.01,78.62,8.07
4.12,5.3,82.49,5.78,53.97,6.73
2.79,5.56,75,4.78,57.21,6.35
4.39,7.34,83.08,2.52,75.3,7.96
5.58,6.72,89.8,5.31,72.41,7.53
3.16,7.02,78.03,3.45,72.24,7.62
2.01,8.14,68.06,1,59.52,7.4
7.29,7.54,99.7,7.84,83.86,8.69
1.93,8.32,65.67,1,60.57,6.69
3.46,6.6,82.76,4.01,57.89,7.04
4.35,8.43,85.65,2.81,70.77,7.88
3.59,6.93,88.86,2.64,62.11,7.99
3.89,6.7,82.01,4.25,73.96,7.9
4.87,8.25,88.87,2.3,85.85,9.61
0.5,5.45,54.7,1.6,44.01,5.6
2.1,8.93,75.21,1,63.18,7.18
4.07,6.16,86.21,3.48,63.24,7.42
3.39,5.04,84.49,5.98,49.89,5.9
4.19,7.28,81.57,4.17,60.14,7.94
4.34,6.05,80,5.83,48.92,6.37
0.83,8.93,58.68,1,53.79,6.1
5.91,5.98,84.56,5.78,68.51,7.84
3.25,6.88,76.13,3.38,73.97,7.68
2.7,4.79,64.75,5.54,45.48,5.4
4.31,7.48,77.72,2.65,75.78,8.71
4.16,5.57,81.25,4.48,64.63,7.45
5.8,7.33,89.31,5.22,81.38,9.15
4.41,5.99,77.19,5.05,62.79,6.93
5.74,4.04,82.52,8.68,50.57,5.84
2.59,6.66,67.54,2.64,69.4,7.39
4.21,6.6,79.96,4.77,79.52,7.56
2.33,7.56,82.29,2.99,59.88,7.11
4.15,8.37,86.03,3.32,70.74,7.64
3.83,8.79,80.21,2.09,79.5,8.82
3.76,7.54,81.59,2.12,75.55,7.81
3.78,6.83,83.97,3.22,70.93,7.77
5.1,4.79,88.9,8.16,53.45,6.34
1.59,6.74,66.4,1.38,57.77,7.07
2.65,6.76,69.02,1.92,63.95,6.77
3.94,6.26,79.07,6.78,56.08,6.83
2.23,7.26,76.18,3.5,69.56,7.07
4.07,7.85,78.99,3.1,76.02,8.14
3.92,5.52,74.1,4.32,72.28,7.98
1.89,5.5,60.85,4.12,48.38,6.1
1.82,6.33,68.5,2,68.35,7.22
0.5,5.76,57.37,2.63,59.48,5.71
2.17,4.53,68.66,4.15,55.27,6.38
4.02,5.3,87.39,7.36,45.77,5.5
4.23,5.02,80.9,5.69,61.22,6.85
4.3,7.95,77.76,5.72,64.37,6.89
2.83,8.54,75.71,1.48,69.64,8.03
3.97,5.19,89.47,7.17,62.65,6.46
4.6,7.16,82.38,3.9,85.35,8.42
2.1,7.55,58.71,1,71.07,7.71
4.18,4.71,84.18,4.17,61.68,7.03
4.98,6.69,86.66,6.57,65.04,6.98
3.26,9.54,76.77,1,72.44,7.4
5.59,7.31,86.87,4.03,78.59,8.64
3.3,6.21,72.46,5.41,66.92,7.17
2.71,5.83,81.12,5.04,60.53,6.33
4.84,4.07,74.98,9.14,48.99,5.93
7.05,7.06,93.7,5.65,83.48,9.02
4.13,8.84,78.98,3.54,65.19,7.99
4.95,5.52,89.03,6.81,60.88,7.13
3.24,4.18,82.36,7.49,53.69,5.33
2.14,5.7,69.55,3.98,56.38,5.78
4.25,7.56,82.21,3.86,69.43,7.86
4.49,5.99,83.82,6.76,69.84,6.81
3.46,5.52,82.58,5.8,59.86,7.38
4.95,6.52,89.9,6.51,61.24,6.92
3.02,6.78,72.4,2.76,66.72,7.26
2.65,4.83,75.42,4.64,40.27,6.03
5.59,6.24,89.87,4.62,71.15,7.99
5.6,5.9,87.41,6.13,65.98,7.96
3.05,5.73,77.11,5.11,62.55,7.56
6.58,5.28,92.99,8.86,63.29,7.18
3.57,7.63,78.64,1.96,65.91,8.34
4.13,5.73,73.86,6.68,46.91,5.66
3.87,4.11,74.78,9.74,36.22,5.03
4.79,6.82,88.02,4.07,79.75,8.79
4.41,7.37,75.98,3.83,72,7.94
4.39,5.54,84.29,5.22,65.09,7.43
2.47,5.83,71.95,3.55,61.43,6.27
1.47,5.72,72.49,3.02,54.75,6.25
5.71,6.08,91.81,5.93,78.02,8.68
3.18,7.83,73.64,2.08,60.92,7.27
3.93,6.36,78.52,4.65,63.42,8.33
4.49,7.51,72.52,4.45,63.05,7.09
6.44,5.34,91.57,9.57,59.99,6.82
4.24,6.04,74.86,5.19,69.56,6.78
3.41,7.64,75.95,2.2,73.33,7.78
3.21,5.53,72.88,5.38,51.91,6
3.94,7.71,75.34,3.63,66.93,7.36
2.64,5.75,79.12,3.7,58.79,6.03
4.04,6.11,73.84,5.41,68.7,7.35
3.92,8.5,74.79,2.03,83.27,8.32
6.46,5.98,88.82,6.95,65.68,7.74
3.87,6.67,76.97,2.3,77.87,8.11
1.11,7.24,61.18,1,52.5,6.07
8.01,6.77,98.26,6.48,85.31,9.37
5.44,6.81,88.69,4.99,69.92,8.08
7.12,6.43,98.97,8.27,71.72,8.05
2.26,4.94,74.43,2.82,61.89,6.76
3.67,6.92,68.8,3.56,78.01,8.34
5.01,5.62,86.96,6.46,66.51,7.36
4.8,7.43,86.23,4.14,59.83,8.03
4.46,8.15,78.99,2.83,70.4,7.86
0.7,4.33,71.84,3.69,43.35,4
1.43,8.15,72.6,1,64.85,7.25
6.28,6.01,90.47,7.27,71.9,7.16
6.54,6.34,89.74,6.77,61.43,6.89
3.84,5.41,87.46,6.3,49.02,6.32
6.09,6.73,90.33,5.05,75.25,8.6
2.47,6.58,72.75,3.57,61.07,7.1
2.81,7.79,74.4,2.44,71.24,8.04
2.35,5.61,83.25,3.94,55.16,6.79
2.73,8.49,72.54,1.22,75.72,8.42
5.08,7.3,85.3,2.9,69.52,7.91
2.71,6.61,69.38,4.48,65.17,6.53
7.36,6.28,94.85,8.92,68.54,8.29
4.69,6.13,78.29,4.6,70.39,7.68
5.63,6.21,84.08,7.18,68.55,7.39
4.73,6.7,74.62,5.22,72.54,7.63
5.82,6.25,93.51,5.99,70.8,8.07
2.7,5.73,74.27,5.16,56.72,6.18
6.17,6.71,92.05,6.03,72.07,7.81
4.21,5.5,80.79,7.07,42.64,5.65
5.81,6.89,89.43,6.46,68.79,7.83
1.84,6.23,77.3,3.56,56.63,6.31
4.27,7.34,77.51,4.51,69.71,7.7
4.22,7.69,82.48,4.06,75.29,8.33
3.07,7.69,76.72,2.6,75.68,8.17
4.47,6.88,88.06,3.86,80.32,7.85
6.31,7.02,93.74,6.35,71.15,8.24
2.96,6.11,77.22,4.76,63.6,6.85
5.44,7.31,80.92,5.85,80.19,8.19
2.31,7.45,67.5,2.36,53.51,6.95
7.16,4.62,89.99,7.45,76.19,8.32
5.18,6.95,73.51,5.01,62.89,7.92
6.59,8.14,94.92,5.13,91.75,8.98
5.01,6.07,83.73,4.83,74.49,7.99
4.59,5.81,84.92,6.68,62.77,6.76
5.19,6,86.12,4.17,63.62,8.11
3.8,4.69,80.18,6.94,54.03,6.28
1.57,6.65,74.56,3.25,57.87,6.71
4.67,6.54,83.39,4.93,80.89,8.01
2.87,6.74,77.68,3.06,69.2,7.28
2.35,7,70.23,3.32,41.32,5.51
4.95,5.54,88.9,5.65,69.92,7.51
3.58,6.83,71.71,4.41,58.99,7.39
5.54,7.03,78.52,4.59,69.74,8.65
2.82,5.91,84.62,2.69,61.57,6.59
3.29,7,85.65,3.59,59.89,6.24
5.73,6.6,78.9,6.1,77.24,8.33
4.42,5.74,81.92,3.96,72.41,7
1.78,6.84,69.67,3.36,65.22,7.04
4.39,6.15,85.55,4.82,64.99,7.13
6.22,7.34,99.81,6.4,63.83,7.77
3.28,6.21,71.1,5.67,64.45,6.68
4.9,4.95,79.45,7.19,55.45,7.08
2.73,6.82,73.62,4.18,73.32,7.02
3.79,6.78,74.16,3.16,75.78,7.94
5.63,5.2,74.6,8.85,71.65,6.41
4.33,7.4,80.51,3.1,68.4,7.38
5.93,7.34,93.96,5.02,79.53,8.33
4.64,5.46,83.09,4.73,60.56,6.88
7.33,5.71,99.76,8.89,72.58,8.09
1.65,6.33,70.67,2.95,56.02,6.81
3.67,5.59,73.24,5.85,52.64,6.65
2.37,7.27,72.21,1,69.14,7.58
2.48,6.68,64.75,3.17,60.18,6.71
2.49,5.19,69.89,4.71,54.09,6.61
4.25,5.51,81.51,6.35,48,5.83
4.34,7.93,81.69,2.64,70.3,7.79
4.64,8.34,76.75,1,84.53,10
2.32,7.15,66.13,2.88,58.74,6.33
3.51,6.25,79.02,4.12,61.17,7.39
2.55,5.97,76.9,3.86,63.71,6.94
5.4,7.16,85.98,5.15,58.74,7.17
2.69,6.59,72.19,3.34,48.87,6.07
3.68,4.57,83.05,6.85,48.48,6.7
4.84,7.74,80.34,2.25,73.83,8.29
3.08,8.11,84.02,3.1,70.86,7.07
5.04,7.38,78.48,4.47,78.08,7.9
6.39,5.19,97.21,9.83,59.58,6.44
4.28,5.74,84.12,5.09,57.08,7.45
5.35,4.27,98.81,7.4,60.51,6.25
0.89,8.42,58.84,1,54.54,5.93
3.36,6.07,65.11,4.78,64.31,7.37
4.28,9.3,87.63,1.7,81.18,8.35
2.42,8.85,64.75,1.15,70.59,7.5
4.31,5.42,84.64,5.51,76.7,7.43
5.59,5.65,93.86,6.97,59.81,7.43
1.18,7.06,67.8,3.36,53.38,6.67
2.22,4.39,72.24,5.18,48.9,6.08
4.28,5.97,83.39,5.74,59.89,6.81
4.69,5.85,87.64,4.36,81.62,8.19
5.11,8.72,88.47,4.74,73.12,8.47
4.17,6.69,74.75,5.54,58.89,6.88
4.69,6.16,92.59,4.82,71.8,7.75
5.36,5.74,87.03,7.66,61.9,6.41
3.38,7.57,79.48,3.14,60.98,8.02
3.09,5.9,78.99,4.23,69.24,7.12
3.75,6.44,84.52,5.6,58.98,6.92
4.3,5.73,86.76,5.05,55.75,6.25
3.01,4.68,75.72,4.61,69.53,6.94
3.41,5.3,77.38,5.31,59.5,6.73
4.6,5.9,85.03,6.23,55.86,7.06
4.24,6.18,86.68,6.02,54.58,6.88
3.72,6.24,73.05,4.33,62.06,6.91
1.39,6.39,70.16,1.15,57.69,6.6
3.99,5.91,75.54,7.61,60.43,6.68
2.54,8.12,81.98,1,66.33,7.59
5.47,7.64,89.21,4.89,80.07,8.21
3.54,6.34,75.6,4.98,61.61,6.83
2.51,6.81,74.67,3.85,51.11,6.66
3.91,6.05,79.58,4.29,66.73,6.96
5.91,3.09,88.73,7.94,69.77,6.69
4.95,6.52,75.68,4.83,72.73,7.99
4.33,6.87,76.53,5.32,63.46,6.92
2.01,4.56,69.35,5.08,45.71,5.51
6.43,7.1,83.72,7,81.08,9.14
3.07,6.16,72.4,4.62,62.43,6.66
5.4,6.91,84.5,6.84,69.61,7.11
3.51,6.2,73.66,3.54,63.09,6.76
5.26,8,90.14,3.06,82.93,8.2
5.96,6.77,85.4,6.56,79.48,8.78
4.97,7.7,85.3,3.22,75.95,9.06
5.13,7.8,83.9,3.07,67.2,8.07
3.85,5.16,78.67,6.92,63.53,6.37
3.35,5.61,84.78,4.99,70.27,7.25
4.21,7.04,81.94,4.19,60.67,7.65
3.49,6.06,79.32,4.48,59.41,6.72
7.7,6.21,94.68,8.38,84.36,9.47
2.51,8.04,75.69,2.68,53.46,6.36
5.5,6.13,90.44,4.86,77.42,9.39
4.78,5.34,86.32,4.88,63.62,7.5
4.34,5.5,75.68,4.91,66.15,7.88
6.22,9.12,88.17,4.39,70.81,8.64
4.45,6.29,89.41,6.97,62.4,6.47
3.05,4.86,71.8,6.05,50.42,5.45
4.44,4.38,90.04,7.65,53.4,6.19
3.73,5.75,75.89,4.89,53.28,7.07
4.75,6.26,84.52,4.16,74.03,8.39
5.22,7.64,85.16,5.1,68.08,7.28
2.71,7.52,69.33,4.21,58.83,6.95
5.79,6.49,84.81,6.06,69.88,8.4
3.62,5.95,74.57,4.1,68.43,7.67
4.67,6.91,84.07,4.52,70.11,7.6
4.93,4.4,89.08,8.12,45.66,6.18
4.55,8.88,83.17,2.79,84.39,8.62
3.84,7.28,79.01,4.46,61.37,7.51
3.27,7.54,82.39,2.69,72.69,8.31
3.6,5.21,78.19,5.14,60.37,6.05
6.35,8.04,89.02,5.54,75.89,8.36
2.7,5.95,68.52,3.21,61.11,6.18
2.92,5.36,80.96,6.3,63.09,6.15
2.86,6.45,72.63,4.23,58.28,7.29
4.2,6.42,78.13,3.68,67.45,6.99
1.71,5.21,65.24,2.76,63.19,6.28
1.97,5.43,75.92,4.11,57.06,6.55
3.61,5.33,75.18,5.46,61.39,6.99
2.07,5.34,75.29,4.03,48.83,6.49
2.19,6.03,69.8,2.96,58.24,6.04
2.08,4.83,64.36,4.7,43.02,6.19
2.73,5.67,71.99,3.89,63.45,6.51
5.1,7.75,85.32,4.91,70.96,8.67
5.43,7.49,86.59,5.72,81.35,8.27
6.88,5.24,93.69,10,62.89,6.77
6.82,7.65,92.51,5.66,86.64,9.07
5.18,4.14,81.97,8.03,58.37,6.94
5.54,9.41,87.76,1.91,77.77,9.38
4.2,8.06,83.69,4.96,60.53,7.71
4.78,5.83,76.59,3.98,70.01,7.17
6.92,6.96,100,8.64,77.33,8.22
4.56,4.82,64.3,6.83,63.07,6.62
5.73,6.57,89.03,6.58,75.59,8.24
2.6,6.28,75.32,3.15,66.88,7.13
3,5.5,71.99,4.53,55.57,6.34
4.47,5.94,71.71,6.12,61.34,6.61
4.22,5.82,80.64,3.77,58.99,7.03
3.07,5.14,76.2,4.28,55.29,6.33
7.61,5.47,92.31,8.3,92.76,8.62
4.26,4.77,77.14,6.94,50.15,5.55
3.34,7.53,81.49,2.81,54.46,7.15
4.23,5.38,81.73,6.46,61.88,7.1
4.04,5.03,72.65,6.17,59.9,7.24
4.28,7.51,83.66,4.83,64.97,7.13
1.61,6.94,63.39,1,54.33,6.53
5.94,7.47,85.82,5.53,80.84,9.1
6.02,7.6,91.1,6.53,69.31,8.11
6.21,8.82,91.55,5.29,77.07,8.45
4.49,6.31,80.43,3.7,72.18,8.37
4.99,4.75,82.45,6.22,67.77,7.33
2.7,6.83,72.25,2.79,77.38,7.52
5.25,5.7,82.34,6.32,56.98,6.97
4.38,5.35,87.33,5.96,67.48,7.1
3.31,6.62,68.7,4.49,56.02,7.59
5.3,7.54,85.28,5.05,75.27,8.49
5.36,5.5,79.48,7.21,69.64,7.61
4.09,8.03,85.13,3.73,74.04,8.64
4.66,5.31,82.08,7.42,52.67,6.85
2.45,6.21,66.98,1,63.98,7.13
5.86,6.96,92.75,5.51,85.92,8.7
2.65,6.03,61.8,2.73,57.09,6.42
2.94,4.37,76.11,6.05,54.21,5.71
4.09,7.61,86.22,3.02,80.94,8.37
5.67,5.75,89.26,7,64.97,5.85
5.67,7.39,85.82,6.13,68.26,8.17
3.99,4.98,73.75,5.41,57.53,6.92
5.16,5.19,91.21,7.33,55.82,6.36
1.47,7.53,71.97,2.49,64.31,6.8
2.92,6.91,71.38,3.84,52.08,7.08
2.95,5.97,71.66,2.39,68.65,7.27
5.88,6.93,95.33,5.66,80.02,8.81
4.98,5.36,87.57,6.98,63.97,7.4
4.28,6.63,72.45,5.2,71.01,7.65
4.42,6.65,81.13,4.52,68.51,7.12
6.35,6.05,90.6,6.66,77.27,8.01
3.74,5.5,79.96,5.31,66.17,7.34
2.03,6.58,70.17,1.36,64.81,7.02
5.63,6.43,85.59,7.3,75.72,8.25
4.27,5.94,82.26,7.2,68.49,6.93
5.43,5.26,84.91,7.57,72.96,7.9
3.93,6.51,96.74,4.19,65.09,6.87
2.74,5.94,74.32,4.74,61.48,6.33
4.6,5.26,82.95,7.12,69.63,6.65
4.02,6.55,89.29,4.19,66.97,7.77
4.28,8.43,74.57,2.8,80.52,8.04
6.42,6.06,91.57,6.76,77.48,7.24
2.35,8.3,67.01,1.22,68.44,7.89
